TransactionID,Status,Mode,SaleDate,Month,CustomerID,Gender,Age,AgeGroup,Category,ProductName,Region,Quantiy,UnitPrice,COGS,TotalSales
1464,Success,PayPal,13-11-2022,Nov,80,Male,38,Adult,Electronics,Light,north,2,300,126,600
1484,Pending,Credit Card,23-11-2022,Nov,22,Female,19,Teen,Clothing,Pant,north,4,300,147,1200
1591,Failed,Bank Transfer,29-09-2022,Sep,62,Male,53,Adult,Electronics,Headphone,west,4,25,7,100
21,Success,PayPal,11-07-2022,Jul,59,Female,50,Adult,Beauty,Face Serum,South,1,500,275,500
708,Pending,Credit Card,06-04-2022,Apr,62,Female,43,Adult,Beauty,Face Wash,north,3,300,87,900
713,Failed,Bank Transfer,16-04-2022,Apr,39,Male,34,Adult,Beauty,Face Serum,South,3,25,11.25,75
768,Success,PayPal,27-06-2022,Jun,58,Female,24,Teen,Beauty,Moisturizer,South,3,25,10.5,75
1021,Pending,Credit Card,11-06-2022,Jun,44,Female,50,Adult,Beauty,Face Wash,north,1,500,155,500
1708,Failed,Bank Transfer,08-02-2022,Feb,41,Female,43,Adult,Beauty,Face Serum,north,3,300,162,900
1713,Success,PayPal,03-10-2022,Oct,90,Male,34,Adult,Beauty,Face Wash,north,3,25,10.75,75
1768,Pending,Credit Card,31-07-2022,Jul,85,Female,24,Teen,Beauty,Face Serum,north,3,25,8.75,75
499,Failed,Bank Transfer,03-04-2022,Apr,15,Male,46,Adult,Beauty,Face Wash,east,2,30,16.5,60
697,Success,PayPal,25-12-2022,Dec,152,Male,53,Adult,Clothing,Shirt,north,1,500,200,500
831,Pending,Credit Card,30-11-2022,Nov,149,Male,27,Adult,Electronics,Light,South,4,25,13.75,100
1499,Failed,Bank Transfer,23-09-2022,Sep,3,Male,46,Adult,Beauty,Moisturizer,South,2,30,11.7,60
1697,Success,PayPal,18-12-2022,Dec,54,Male,53,Adult,Clothing,Jacket,north,1,500,265,500
1831,Pending,Credit Card,26-03-2022,Mar,80,Male,27,Adult,Electronics,Fan,west,4,25,6.5,100
15,Failed,Bank Transfer,01-07-2022,Jul,75,Female,42,Adult,Electronics,Fan,east,4,500,210,2000
743,Success,PayPal,07-08-2022,Aug,55,Female,34,Adult,Beauty,Lip Balm,west,4,500,260,2000
1015,Pending,Credit Card,09-03-2022,Mar,94,Female,42,Adult,Electronics,Fan,west,4,500,200,2000
1743,Failed,Bank Transfer,26-10-2022,Oct,47,Female,34,Adult,Beauty,Moisturizer,east,4,500,250,2000
14,Success,PayPal,18-05-2022,May,8,Male,64,Senior,Clothing,Shirt,east,4,30,13.2,120
103,Pending,Credit Card,12-11-2022,Nov,33,Female,59,Senior,Clothing,Shirt,South,1,25,10.75,25
238,Failed,Bank Transfer,10-05-2022,May,20,Female,39,Adult,Beauty,Face Wash,east,1,500,150,500
986,Success,PayPal,01-08-2022,Aug,65,Female,49,Adult,Clothing,Jacket,west,2,500,200,1000
1014,Pending,Credit Card,04-02-2022,Feb,147,Male,64,Senior,Clothing,Sweater,east,4,30,11.4,120
1103,Failed,Bank Transfer,14-02-2022,Feb,61,Female,59,Senior,Clothing,Jacket,west,1,25,6.75,25
1238,Success,PayPal,17-09-2022,Sep,129,Female,39,Adult,Beauty,Moisturizer,South,1,500,165,500
1986,Pending,Credit Card,14-09-2022,Sep,29,Female,49,Adult,Clothing,Sweater,north,2,500,145,1000
438,Failed,Bank Transfer,31-08-2022,Aug,88,Female,42,Adult,Clothing,Sweater,north,1,30,15.9,30
1438,Success,PayPal,07-01-2022,Jan,72,Female,42,Adult,Clothing,Pant,South,1,30,13.8,30
475,Pending,Credit Card,12-08-2022,Aug,78,Male,26,Adult,Clothing,Sweater,north,3,25,9,75
505,Failed,Bank Transfer,17-12-2022,Dec,86,Male,24,Teen,Beauty,Face Serum,west,1,50,19.5,50
1475,Success,PayPal,04-10-2022,Oct,132,Male,26,Adult,Clothing,Pant,west,3,25,10.75,75
1505,Pending,Credit Card,30-10-2022,Oct,98,Male,24,Teen,Beauty,Face Serum,west,1,50,14.5,50
344,Failed,Bank Transfer,17-07-2022,Jul,69,Female,42,Adult,Beauty,Face Serum,west,1,30,7.5,30
448,Success,PayPal,19-03-2022,Mar,86,Female,54,Adult,Beauty,Face Serum,west,2,30,16.2,60
742,Pending,Credit Card,19-03-2022,Mar,37,Female,38,Adult,Electronics,Fan,South,4,500,195,2000
1344,Failed,Bank Transfer,18-12-2022,Dec,144,Female,42,Adult,Beauty,Face Wash,west,1,30,11.1,30
1448,Success,PayPal,16-05-2022,May,51,Female,54,Adult,Beauty,Face Wash,west,2,30,9.3,60
1742,Pending,Credit Card,22-11-2022,Nov,18,Female,38,Adult,Electronics,Fan,South,4,500,220,2000
445,Failed,Bank Transfer,14-04-2022,Apr,132,Female,53,Adult,Electronics,Fan,east,1,300,138,300
787,Success,PayPal,10-06-2022,Jun,25,Male,41,Adult,Electronics,Headphone,west,1,25,13.75,25
1445,Pending,Credit Card,19-04-2022,Apr,31,Female,53,Adult,Electronics,Light,north,1,300,129,300
1787,Failed,Bank Transfer,30-05-2022,May,104,Male,41,Adult,Electronics,Headphone,east,1,25,10,25
49,Success,PayPal,17-09-2022,Sep,37,Female,54,Adult,Electronics,Fan,north,2,500,255,1000
420,Pending,Credit Card,02-01-2022,Jan,28,Female,22,Teen,Clothing,Sweater,north,4,500,200,2000
519,Failed,Bank Transfer,08-04-2022,Apr,52,Female,36,Adult,Electronics,Speaker,east,4,30,16.5,120
1049,Success,PayPal,16-05-2022,May,143,Female,54,Adult,Electronics,Speaker,west,2,500,125,1000
1420,Pending,Credit Card,15-04-2022,Apr,138,Female,22,Teen,Clothing,Pant,east,4,500,205,2000
1519,Failed,Bank Transfer,08-01-2022,Jan,139,Female,36,Adult,Electronics,Speaker,South,4,30,9.3,120
64,Success,PayPal,15-11-2022,Nov,7,Male,49,Adult,Clothing,Pant,west,4,25,8.5,100
592,Pending,Credit Card,26-12-2022,Dec,77,Female,46,Adult,Beauty,Face Wash,north,4,500,275,2000
912,Failed,Bank Transfer,31-10-2022,Oct,122,Male,51,Adult,Beauty,Moisturizer,west,3,50,20.5,150
1064,Success,PayPal,14-04-2022,Apr,49,Male,49,Adult,Clothing,Pant,east,4,25,13.75,100
1592,Pending,Credit Card,16-03-2022,Mar,81,Female,46,Adult,Beauty,Moisturizer,north,4,500,155,2000
1912,Failed,Bank Transfer,27-05-2022,May,146,Male,51,Adult,Beauty,Lip Balm,west,3,50,22,150
134,Success,PayPal,25-08-2022,Aug,132,Male,49,Adult,Electronics,Headphone,west,1,50,16,50
1134,Pending,Credit Card,05-08-2022,Aug,106,Male,49,Adult,Electronics,Light,east,1,50,24,50
288,Failed,Bank Transfer,02-05-2022,May,27,Male,28,Adult,Clothing,Pant,west,4,30,12,120
323,Success,PayPal,21-01-2022,Jan,97,Female,29,Adult,Beauty,Lip Balm,South,3,300,150,900
618,Pending,Credit Card,13-10-2022,Oct,5,Female,27,Adult,Beauty,Face Wash,east,1,50,26,50
720,Failed,Bank Transfer,08-04-2022,Apr,116,Female,56,Senior,Beauty,Moisturizer,east,3,500,235,1500
1288,Success,PayPal,05-04-2022,Apr,26,Male,28,Adult,Clothing,Jacket,South,4,30,9,120
1323,Pending,Credit Card,15-08-2022,Aug,136,Female,29,Adult,Beauty,Moisturizer,north,3,300,114,900
1618,Failed,Bank Transfer,15-09-2022,Sep,118,Female,27,Adult,Beauty,Lip Balm,west,1,50,13.5,50
1720,Success,PayPal,10-10-2022,Oct,28,Female,56,Senior,Beauty,Lip Balm,east,3,500,190,1500
415,Pending,Credit Card,05-01-2022,Jan,85,Male,53,Adult,Clothing,Sweater,east,2,30,8.1,60
736,Failed,Bank Transfer,18-12-2022,Dec,97,Male,29,Adult,Clothing,Shirt,north,4,25,9.75,100
929,Success,PayPal,11-03-2022,Mar,40,Female,23,Teen,Beauty,Moisturizer,South,3,25,10.5,75
1415,Pending,Credit Card,06-03-2022,Mar,146,Male,53,Adult,Clothing,Shirt,west,2,30,15.3,60
1736,Failed,Bank Transfer,28-08-2022,Aug,87,Male,29,Adult,Clothing,Sweater,west,4,25,10.25,100
1929,Success,PayPal,15-09-2022,Sep,62,Female,23,Teen,Beauty,Lip Balm,north,3,25,12.75,75
264,Pending,Credit Card,26-12-2022,Dec,111,Male,47,Adult,Clothing,Pant,north,3,300,150,900
913,Failed,Bank Transfer,12-10-2022,Oct,78,Male,29,Adult,Electronics,Fan,South,3,30,16.5,90
940,Success,PayPal,05-01-2022,Jan,46,Female,20,Teen,Electronics,Light,South,1,30,9.6,30
1264,Pending,Credit Card,27-05-2022,May,82,Male,47,Adult,Clothing,Jacket,west,3,300,123,900
1913,Failed,Bank Transfer,23-06-2022,Jun,101,Male,29,Adult,Electronics,Headphone,east,3,30,14.1,90
1940,Success,PayPal,15-06-2022,Jun,56,Female,20,Teen,Electronics,Headphone,east,1,30,11.1,30
101,Pending,Credit Card,08-01-2022,Jan,24,Male,32,Adult,Clothing,Jacket,South,2,300,135,600
1101,Failed,Bank Transfer,17-05-2022,May,15,Male,32,Adult,Clothing,Jacket,west,2,300,132,600
189,Success,PayPal,02-01-2022,Jan,143,Male,63,Senior,Beauty,Moisturizer,east,1,50,14.5,50
317,Pending,Credit Card,04-05-2022,May,117,Male,22,Teen,Electronics,Fan,South,3,30,12,90
322,Failed,Bank Transfer,19-10-2022,Oct,13,Male,51,Adult,Electronics,Fan,north,1,500,125,500
329,Success,PayPal,27-10-2022,Oct,52,Female,46,Adult,Electronics,Fan,west,4,25,8,100
1189,Pending,Credit Card,07-12-2022,Dec,104,Male,63,Senior,Beauty,Face Wash,east,1,50,20.5,50
1317,Failed,Bank Transfer,25-08-2022,Aug,144,Male,22,Teen,Electronics,Speaker,north,3,30,12,90
1322,Success,PayPal,14-11-2022,Nov,10,Male,51,Adult,Electronics,Speaker,north,1,500,250,500
1329,Pending,Credit Card,27-01-2022,Jan,119,Female,46,Adult,Electronics,Headphone,west,4,25,9.25,100
235,Failed,Bank Transfer,10-03-2022,Mar,132,Female,23,Teen,Electronics,Headphone,west,2,500,275,1000
300,Success,PayPal,08-01-2022,Jan,138,Female,19,Teen,Electronics,Fan,east,4,50,26.5,200
964,Pending,Credit Card,26-08-2022,Aug,15,Male,24,Teen,Clothing,Jacket,west,3,300,156,900
1235,Failed,Bank Transfer,04-04-2022,Apr,87,Female,23,Teen,Electronics,Headphone,east,2,500,220,1000
1300,Success,PayPal,08-08-2022,Aug,7,Female,19,Teen,Electronics,Light,north,4,50,24,200
1964,Pending,Credit Card,02-08-2022,Aug,115,Male,24,Teen,Clothing,Pant,South,3,300,111,900
269,Failed,Bank Transfer,19-09-2022,Sep,87,Male,25,Adult,Clothing,Jacket,north,4,500,250,2000
320,Success,PayPal,20-04-2022,Apr,57,Female,28,Adult,Electronics,Light,north,4,300,159,1200
673,Pending,Credit Card,04-07-2022,Jul,18,Female,43,Adult,Clothing,Sweater,South,3,500,270,1500
1269,Failed,Bank Transfer,01-01-2022,Jan,71,Male,25,Adult,Clothing,Jacket,South,4,500,145,2000
1320,Success,PayPal,02-11-2022,Nov,102,Female,28,Adult,Electronics,Speaker,east,4,300,84,1200
1673,Pending,Credit Card,14-06-2022,Jun,42,Female,43,Adult,Clothing,Pant,east,3,500,185,1500
142,Failed,Bank Transfer,08-04-2022,Apr,61,Male,35,Adult,Electronics,Headphone,west,4,300,138,1200
223,Success,PayPal,15-01-2022,Jan,61,Female,64,Senior,Clothing,Sweater,west,1,25,12,25
666,Pending,Credit Card,03-03-2022,Mar,49,Male,51,Adult,Electronics,Speaker,east,3,50,16,150
1142,Failed,Bank Transfer,09-11-2022,Nov,2,Male,35,Adult,Electronics,Light,South,4,300,114,1200
1223,Success,PayPal,20-02-2022,Feb,106,Female,64,Senior,Clothing,Sweater,north,1,25,9.75,25
1666,Pending,Credit Card,08-12-2022,Dec,125,Male,51,Adult,Electronics,Headphone,west,3,50,21,150
107,Failed,Bank Transfer,06-10-2022,Oct,75,Female,21,Teen,Clothing,Jacket,west,4,300,78,1200
933,Success,PayPal,19-09-2022,Sep,81,Male,22,Teen,Beauty,Face Serum,west,1,30,12.9,30
1107,Pending,Credit Card,31-12-2022,Dec,62,Female,21,Teen,Clothing,Shirt,east,4,300,102,1200
1933,Failed,Bank Transfer,12-01-2022,Jan,121,Male,22,Teen,Beauty,Moisturizer,east,1,30,14.4,30
237,Success,PayPal,11-04-2022,Apr,105,Female,50,Adult,Beauty,Lip Balm,west,2,500,165,1000
335,Pending,Credit Card,02-02-2022,Feb,2,Female,47,Adult,Beauty,Moisturizer,South,4,30,10.8,120
1237,Failed,Bank Transfer,23-02-2022,Feb,48,Female,50,Adult,Beauty,Moisturizer,east,2,500,215,1000
1335,Success,PayPal,27-05-2022,May,117,Female,47,Adult,Beauty,Face Wash,north,4,30,8.7,120
63,Pending,Credit Card,03-02-2022,Feb,127,Male,57,Senior,Electronics,Fan,east,2,25,6.25,50
195,Failed,Bank Transfer,14-08-2022,Aug,10,Male,52,Adult,Clothing,Shirt,north,1,30,9.3,30
333,Success,PayPal,06-10-2022,Oct,21,Female,54,Adult,Electronics,Fan,east,4,300,99,1200
379,Pending,Credit Card,01-06-2022,Jun,76,Female,47,Adult,Clothing,Pant,north,1,25,8.5,25
490,Failed,Bank Transfer,27-01-2022,Jan,43,Male,34,Adult,Clothing,Sweater,west,3,50,18.5,150
530,Success,PayPal,01-05-2022,May,8,Female,18,Teen,Electronics,Light,west,4,30,9,120
740,Pending,Credit Card,01-12-2022,Dec,33,Female,25,Adult,Beauty,Lip Balm,east,4,50,13,200
793,Failed,Bank Transfer,27-05-2022,May,1,Male,54,Adult,Beauty,Face Wash,north,1,30,14.7,30
1063,Success,PayPal,04-08-2022,Aug,56,Male,57,Senior,Electronics,Fan,east,2,25,11,50
1195,Pending,Credit Card,21-09-2022,Sep,55,Male,52,Adult,Clothing,Sweater,South,1,30,12,30
1333,Failed,Bank Transfer,01-11-2022,Nov,151,Female,54,Adult,Electronics,Headphone,South,4,300,165,1200
1379,Success,PayPal,02-01-2022,Jan,69,Female,47,Adult,Clothing,Sweater,South,1,25,7.25,25
1490,Pending,Credit Card,26-10-2022,Oct,155,Male,34,Adult,Clothing,Jacket,east,3,50,17,150
1530,Failed,Bank Transfer,10-12-2022,Dec,93,Female,18,Teen,Electronics,Headphone,north,4,30,12.3,120
1740,Success,PayPal,16-07-2022,Jul,66,Female,25,Adult,Beauty,Lip Balm,west,4,50,27,200
1793,Pending,Credit Card,11-12-2022,Dec,88,Male,54,Adult,Beauty,Moisturizer,north,1,30,10.8,30
85,Failed,Bank Transfer,03-09-2022,Sep,68,Male,31,Adult,Clothing,Shirt,west,3,50,19,150
232,Success,PayPal,12-08-2022,Aug,150,Female,43,Adult,Beauty,Moisturizer,north,1,25,12.75,25
240,Pending,Credit Card,05-11-2022,Nov,95,Female,23,Teen,Beauty,Lip Balm,west,1,300,123,300
993,Failed,Bank Transfer,07-09-2022,Sep,134,Female,48,Adult,Electronics,Light,east,3,50,17,150
1085,Success,PayPal,12-08-2022,Aug,76,Male,31,Adult,Clothing,Pant,north,3,50,17,150
1232,Pending,Credit Card,23-05-2022,May,146,Female,43,Adult,Beauty,Face Wash,north,1,25,6.25,25
1240,Failed,Bank Transfer,07-08-2022,Aug,144,Female,23,Teen,Beauty,Face Wash,east,1,300,90,300
1993,Success,PayPal,29-12-2022,Dec,123,Female,48,Adult,Electronics,Fan,west,3,50,26.5,150
366,Pending,Credit Card,29-10-2022,Oct,116,Male,57,Senior,Clothing,Shirt,South,2,50,17.5,100
372,Failed,Bank Transfer,19-06-2022,Jun,27,Female,24,Teen,Beauty,Face Serum,South,3,500,140,1500
596,Success,PayPal,12-02-2022,Feb,87,Female,64,Senior,Electronics,Speaker,west,1,300,93,300
936,Pending,Credit Card,05-01-2022,Jan,143,Male,57,Senior,Beauty,Moisturizer,South,4,50,19.5,200
1366,Failed,Bank Transfer,01-01-2022,Jan,25,Male,57,Senior,Clothing,Jacket,north,2,50,23.5,100
1372,Success,PayPal,18-03-2022,Mar,60,Female,24,Teen,Beauty,Face Wash,east,3,500,145,1500
1596,Pending,Credit Card,28-03-2022,Mar,7,Female,64,Senior,Electronics,Light,west,1,300,141,300
1936,Failed,Bank Transfer,19-06-2022,Jun,60,Male,57,Senior,Beauty,Moisturizer,east,4,50,12.5,200
284,Success,PayPal,12-11-2022,Nov,129,Male,43,Adult,Clothing,Shirt,South,4,50,20.5,200
434,Pending,Credit Card,26-10-2022,Oct,50,Female,43,Adult,Electronics,Speaker,west,2,25,8.25,50
775,Failed,Bank Transfer,06-05-2022,May,98,Female,46,Adult,Electronics,Fan,north,4,25,9.5,100
977,Success,PayPal,26-07-2022,Jul,46,Female,35,Adult,Electronics,Speaker,South,3,25,13.75,75
1284,Pending,Credit Card,16-12-2022,Dec,145,Male,43,Adult,Clothing,Pant,west,4,50,18,200
1434,Failed,Bank Transfer,04-02-2022,Feb,147,Female,43,Adult,Electronics,Light,north,2,25,7,50
1775,Success,PayPal,18-12-2022,Dec,78,Female,46,Adult,Electronics,Fan,north,4,25,13.75,100
1977,Pending,Credit Card,05-08-2022,Aug,63,Female,35,Adult,Electronics,Light,South,3,25,12,75
649,Failed,Bank Transfer,21-06-2022,Jun,44,Female,58,Senior,Clothing,Pant,west,2,300,135,600
1649,Success,PayPal,21-10-2022,Oct,72,Female,58,Senior,Clothing,Pant,west,2,300,75,600
54,Pending,Credit Card,20-10-2022,Oct,142,Female,38,Adult,Electronics,Light,South,3,500,200,1500
68,Failed,Bank Transfer,15-12-2022,Dec,146,Male,25,Adult,Electronics,Light,South,1,300,84,300
192,Success,PayPal,08-11-2022,Nov,134,Male,62,Senior,Beauty,Face Wash,west,2,50,13,100
1054,Pending,Credit Card,10-01-2022,Jan,49,Female,38,Adult,Electronics,Speaker,west,3,500,140,1500
1068,Failed,Bank Transfer,14-09-2022,Sep,136,Male,25,Adult,Electronics,Speaker,west,1,300,111,300
1192,Success,PayPal,29-03-2022,Mar,37,Male,62,Senior,Beauty,Face Wash,east,2,50,20.5,100
331,Pending,Credit Card,16-08-2022,Aug,28,Male,28,Adult,Electronics,Speaker,east,3,30,10.2,90
346,Failed,Bank Transfer,05-09-2022,Sep,38,Male,59,Senior,Clothing,Pant,north,2,500,215,1000
657,Success,PayPal,29-01-2022,Jan,46,Male,40,Adult,Clothing,Sweater,east,1,25,8,25
732,Pending,Credit Card,13-10-2022,Oct,136,Male,61,Senior,Electronics,Fan,north,2,500,250,1000
972,Failed,Bank Transfer,16-08-2022,Aug,139,Male,49,Adult,Beauty,Lip Balm,west,4,25,6.75,100
1331,Success,PayPal,15-05-2022,May,36,Male,28,Adult,Electronics,Speaker,South,3,30,13.8,90
1346,Pending,Credit Card,10-04-2022,Apr,112,Male,59,Senior,Clothing,Pant,South,2,500,130,1000
1657,Failed,Bank Transfer,09-08-2022,Aug,61,Male,40,Adult,Clothing,Sweater,east,1,25,8,25
1732,Success,PayPal,25-02-2022,Feb,55,Male,61,Senior,Electronics,Light,west,2,500,215,1000
1972,Pending,Credit Card,21-12-2022,Dec,5,Male,49,Adult,Beauty,Lip Balm,east,4,25,9.25,100
714,Failed,Bank Transfer,29-10-2022,Oct,20,Female,18,Teen,Clothing,Jacket,east,1,500,190,500
1714,Success,PayPal,23-11-2022,Nov,111,Female,18,Teen,Clothing,Sweater,north,1,500,245,500
193,Pending,Credit Card,27-03-2022,Mar,55,Male,35,Adult,Beauty,Lip Balm,west,3,500,180,1500
577,Failed,Bank Transfer,21-04-2022,Apr,45,Male,21,Teen,Beauty,Moisturizer,west,4,500,215,2000
848,Success,PayPal,24-01-2022,Jan,15,Female,63,Senior,Clothing,Pant,north,3,25,9.75,75
945,Pending,Credit Card,01-10-2022,Oct,120,Male,30,Adult,Beauty,Face Serum,north,1,25,13.25,25
1193,Failed,Bank Transfer,11-05-2022,May,50,Male,35,Adult,Beauty,Lip Balm,north,3,500,145,1500
1577,Success,PayPal,11-09-2022,Sep,145,Male,21,Teen,Beauty,Lip Balm,east,4,500,160,2000
1848,Pending,Credit Card,27-12-2022,Dec,63,Female,63,Senior,Clothing,Sweater,west,3,25,12.5,75
1945,Failed,Bank Transfer,19-04-2022,Apr,33,Male,30,Adult,Beauty,Face Wash,east,1,25,10.75,25
11,Success,PayPal,27-02-2022,Feb,151,Male,23,Teen,Clothing,Sweater,east,2,50,23.5,100
821,Pending,Credit Card,23-11-2022,Nov,40,Male,49,Adult,Electronics,Fan,north,1,300,129,300
1011,Failed,Bank Transfer,01-04-2022,Apr,15,Male,23,Teen,Clothing,Sweater,east,2,50,19,100
1821,Success,PayPal,03-10-2022,Oct,42,Male,49,Adult,Electronics,Fan,north,1,300,108,300
133,Pending,Credit Card,23-06-2022,Jun,70,Male,20,Teen,Electronics,Speaker,west,3,300,87,900
1133,Failed,Bank Transfer,05-03-2022,Mar,58,Male,20,Teen,Electronics,Headphone,east,3,300,159,900
16,Success,PayPal,25-06-2022,Jun,82,Male,19,Teen,Clothing,Sweater,west,3,500,180,1500
42,Pending,Credit Card,08-12-2022,Dec,63,Male,22,Teen,Clothing,Sweater,west,3,300,147,900
292,Failed,Bank Transfer,10-10-2022,Oct,111,Male,20,Teen,Beauty,Face Serum,west,4,300,141,1200
